City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,cabra,37.4725,-4.4421,11.93,73,90,2.11,ES,1670192257
72,port-cartier,50.0334,-66.8654,-5.18,82,11,4.27,CA,1670192257
73,nikolskoye,59.7035,30.7861,-4.06,95,100,3.45,RU,1670192258
74,skelleftea,64.7507,20.9528,-5.8,100,100,2.06,SE,1670192258
75,karratha,-20.7377,116.8463,27.76,46,1,4.36,AU,1670192259
76,tuatapere,-46.1333,167.6833,12.42,78,100,1.24,NZ,1670192259
77,marawi,7.9986,124.2928,20.06,93,97,0.82,PH,1670192260
78,qaanaaq,77.484,-69.3632,-20.9,66,32,3.81,GL,1670192260
79,palu,-0.8917,119.8707,23.69,93,97,1.31,ID,1670192261
80,villa carlos paz,-31.4241,-64.4978,35.22,15,6,3.58,AR,1670192261
81,paita,-5.0892,-81.1144,21.04,76,10,7.16,PE,1670192262
82,isla mujeres,21.2311,-86.731,26.03,62,7,5.52,MX,1670192262
83,coahuayana,18.7333,-103.6833,30.46,59,6,2.65,MX,1670192263
84,hilo,19.7297,-155.09,26.45,76,100,2.57,US,1670192075
85,rach gia,10.0167,105.0833,24.45,90,97,4.76,VN,1670192263
86,juneau,58.3019,-134.4197,-0.44,80,20,1.54,US,1670192138
87,chara,56.9064,118.2631,-19.13,77,100,2.86,RU,1670192265
88,te anau,-45.4167,167.7167,14.14,82,93,2.38,NZ,1670192266
89,bressuire,46.9167,-0.5,4.04,85,92,1.41,FR,1670192267
90,makakilo city,21.3469,-158.0858,26.91,63,75,4.63,US,1670192267
91,gunjur,13.2019,-16.7339,23.04,88,100,2.57,GM,1670192268
92,palana,59.1167,159.9667,-12.67,80,100,3.69,RU,1670192268
93,petropavlovsk-kamchatskiy,53.0452,158.6483,-15.67,61,0,3.0,RU,1670192268
94,hovd,48.0056,91.6419,-17.45,81,100,0.74,MN,1670192269
95,hermanus,-34.4187,19.2345,11.56,73,58,2.29,ZA,1670192269
96,mizdah,31.4451,12.9801,16.54,25,10,2.48,LY,1670192147
97,salekhard,66.53,66.6019,-10.57,89,72,3.01,RU,1670192070
98,ostrovnoy,68.0531,39.5131,-5.59,89,97,6.46,RU,1670192270
99,truro,50.2653,-5.0544,6.42,87,0,5.14,GB,1670192271
100,corinto,37.9407,22.9573,14.38,78,78,1.77,GR,1670192247
101,portland,45.5234,-122.6762,2.47,92,100,3.58,US,1670191904
102,acapulco,16.8634,-99.8901,29.9,66,0,5.14,MX,1670192032
103,williams lake,52.1415,-122.1445,-11.24,84,100,2.57,CA,1670192272
104,klaksvik,62.2266,-6.589,4.51,76,72,5.99,FO,1670192272
105,sarakhs,36.5449,61.1577,2.97,45,99,3.53,IR,1670192273
106,ixtapa,20.7,-105.2,26.57,78,0,4.12,MX,1670192273
107,bud,39.447,-86.1758,4.01,38,2,2.88,US,1670192273
108,aklavik,68.2191,-135.0107,-24.51,99,99,3.51,CA,1670192274
109,yilan,24.757,121.753,20.51,94,100,1.92,TW,1670192275
110,kununurra,-15.7667,128.7333,26.99,89,100,0.0,AU,1670192276
111,saint george,37.1041,-113.5841,17.19,44,0,0.45,US,1670192276
112,verkhnevilyuysk,63.4453,120.3167,-14.46,89,100,7.08,RU,1670192277
113,ayan,56.45,138.1667,-16.21,63,100,5.41,RU,1670192277
114,martapura,-3.4167,114.85,25.05,100,40,2.57,ID,1670192277
115,hasaki,35.7333,140.8333,8.22,73,100,9.91,JP,1670192278
116,tarakan,3.3,117.6333,25.18,87,85,2.28,ID,1670192278
117,saint-philippe,-21.3585,55.7679,22.77,83,78,3.82,RE,1670192279
118,san quintin,30.4833,-115.95,18.43,71,100,6.07,MX,1670192279
119,champerico,14.3,-91.9167,29.3,72,0,2.98,GT,1670192280
120,kavieng,-2.5744,150.7967,26.43,83,100,4.86,PG,1670192280
121,ginir,7.1333,40.7,13.62,48,34,2.43,ET,1670192281
122,novyy urengoy,66.0833,76.6333,-4.04,94,100,6.27,RU,1670192281
